Model,Target,Train MAE,Train RMSE,Train R2,Test MAE,Test RMSE,Test R2
Linear Regression,Without RIS,5.033218821917871,6.624160072232382,0.829116754655839,4.80377147705013,6.225015133253,0.823180939926268
Linear Regression,With RIS,5.03321882191787,6.624160072232383,0.9795239002219335,4.803771477050129,6.225015133253002,0.9803145958458653
Decision Tree,Without RIS,0.00022045855379197485,0.003320079470373504,0.9999999570725783,4.676631393298059,7.41550077037856,0.7490834987033972
Decision Tree,With RIS,0.00022045855379189966,0.003320079470373504,0.9999999948562179,6.902339329805996,9.86531630927135,0.950559194080925
Random Forest,Without RIS,1.415628018267605,2.0288042669303485,0.9839705675605644,3.4453301715709412,4.919987055294165,0.8895473411587487
Random Forest,With RIS,1.7129724407597406,2.4711161159713417,0.9971504787100731,4.787661803502452,6.650695028411983,0.9775302842035265
