Seasonal Variation (Data Source),Simulation Run Number,T-R Separation Distance (m),Time Delay (ns),Received Power (dBm), Phase (rad),Azimuth AoD (degree),Elevation AoD (degree),Azimuth AoA (degree),Elevation AoA (degree),Path Loss (dB),RMS Delay Spread (ns),Season,Frequency,RIS Gain (dB),RIS Path Loss (dB)
WinterL,3,444.9,1498,-139.9,1.7,121,-5.7,300.6,11,169.8,5.9,3,24.25,35.1104,134.6896
WinterL,3,444.9,1501,-144.2,4.4,138,-10.7,90.4,9,173.8,9.4,3,24.25,23.6968,150.1032
WinterL,3,444.9,1503,-135.5,5.1,134,-4.1,308.3,16,164.5,11.4,3,24.25,34.9897,129.5103
WinterL,3,444.9,1531,-129.4,4.1,142,-4.3,315.7,15,159.3,6.3,3,24.25,35.2421,124.0579
WinterL,3,444.9,1534,-151.1,2.9,130,-11.2,103.3,13,176.7,42.4,3,24.25,31.7036,144.9964
WinterL,3,444.9,1537,-152.4,4.8,118,-12.1,103.8,13,178.7,30.6,3,24.25,34.4337,144.2663
WinterL,3,444.9,1541,-149.7,3.7,138,-4.8,319.3,6,169.2,25.8,3,24.25,35.5516,133.6484
WinterL,3,444.9,1574,-139.6,4.7,139,-9.9,315.9,8,165.9,33.4,3,24.25,35.8532,130.0468
WinterL,3,444.9,1578,-145.6,3.9,117,-6.2,115.0,10,175.6,7.1,3,24.25,35.9256,139.6744
WinterL,3,444.9,1585,-136.9,1.8,124,-11.5,96.3,7,166.8,15.9,3,24.25,31.8925,134.9075
WinterL,3,444.9,1595,-134.6,0.8,147,-10.9,108.5,13,164.6,8.0,3,24.25,28.2719,136.3281
WinterL,3,444.9,1606,-151.6,3.0,127,-10.4,110.0,7,180.4,26.1,3,24.25,34.6567,145.7433
WinterL,3,444.9,1618,-156.0,3.2,119,-17.0,309.3,6,184.6,49.4,3,24.25,35.7796,148.8204
WinterL,3,444.9,1632,-148.9,1.4,115,-5.4,311.0,8,177.0,66.9,3,24.25,35.0976,141.9024
WinterL,3,444.9,1698,-159.2,1.8,132,-11.3,99.4,18,180.9,71.8,3,24.25,31.3408,149.5592
WinterH,1,286.0,953,-126.1,5.8,10,-7.0,198.9,7,156.1,0.5,3,24.25,43.3221,112.7779
WinterH,1,286.0,956,-134.2,1.6,21,-11.4,203.6,5,163.5,1.7,3,24.25,43.8516,119.6484
WinterH,1,286.0,961,-139.9,3.8,19,-7.4,201.8,2,164.5,3.2,3,24.25,43.9222,120.5778
WinterH,1,286.0,966,-145.6,1.5,25,-13.9,215.1,8,174.9,3.5,3,24.25,43.37,131.53
WinterH,1,286.0,972,-141.2,2.1,21,-11.7,207.3,-7,170.8,3.5,3,24.25,43.8795,126.9205
WinterH,1,286.0,978,-139.5,4.2,46,-9.2,189.3,-1,169.4,0.9,3,24.25,35.4703,133.9297
WinterH,1,286.0,985,-136.9,0.4,48,-9.0,200.3,6,166.9,3.5,3,24.25,39.2661,127.6339
WinterH,1,286.0,991,-148.5,6.2,40,-16.8,205.4,-2,178.3,4.6,3,24.25,43.0071,135.2929
WinterH,1,286.0,998,-144.1,5.7,7,-12.7,204.8,-13,174.1,5.8,3,24.25,42.4186,131.6814
WinterH,2,239.5,798,-130.2,5.2,117,-8.3,73.5,7,159.9,8.5,3,24.25,35.096,124.804
WinterH,2,239.5,802,-121.6,4.2,106,-7.2,83.1,15,151.5,3.9,3,24.25,44.6371,106.8629
WinterH,2,239.5,807,-127.5,3.5,107,-3.9,298.0,24,157.5,5.2,3,24.25,47.6552,109.8448
WinterH,2,239.5,813,-134.2,6.0,105,-11.8,87.4,16,155.8,4.7,3,24.25,46.3787,109.4213
WinterH,2,239.5,819,-122.7,5.6,121,-3.6,69.8,18,152.7,1.3,3,24.25,30.5566,122.1434
WinterH,2,239.5,827,-119.8,0.8,119,-6.8,127.6,-12,149.8,0.5,3,24.25,48.3611,101.4389
WinterH,2,239.5,834,-126.0,2.8,82,-12.6,126.2,-5,156.0,0.8,3,24.25,35.1562,120.8438
WinterH,2,239.5,842,-133.3,1.9,115,-4.1,79.2,22,161.8,15.4,3,24.25,39.8913,121.9087
WinterH,2,239.5,851,-140.4,0.8,90,-3.4,129.5,2,170.0,8.9,3,24.25,38.0779,131.9221
WinterH,2,239.5,860,-139.5,2.0,110,-11.3,79.6,10,159.0,17.0,3,24.25,42.7044,116.2956
WinterH,2,239.5,869,-143.1,2.3,100,-5.5,74.9,12,164.1,23.1,3,24.25,44.9844,119.1156
WinterH,2,239.5,878,-143.5,5.4,111,-1.6,76.4,11,163.8,24.9,3,24.25,41.0243,122.7757
WinterH,2,239.5,888,-150.4,1.1,122,-2.1,84.8,6,175.9,56.5,3,24.25,39.8432,136.0568
WinterH,2,239.5,898,-157.3,0.6,118,-3.4,286.9,13,178.7,30.1,3,24.25,49.2638,129.4362
WinterH,2,239.5,908,-152.9,0.1,107,-8.7,295.7,3,178.8,56.3,3,24.25,49.8052,128.9948
WinterH,2,239.5,940,-157.1,2.3,107,-8.0,282.4,15,179.9,55.7,3,24.25,50.803,129.097
WinterH,2,239.5,1126,-148.3,0.0,127,-7.7,91.2,3,177.4,117.0,3,24.25,44.0827,133.3173
WinterH,2,239.5,1129,-148.6,3.1,101,-7.5,124.5,-3,175.8,145.0,3,24.25,49.8938,125.9062
WinterH,2,239.5,1135,-158.6,4.7,105,-7.4,298.1,16,165.8,41.0,3,24.25,53.0967,112.7033
WinterH,2,239.5,1143,-148.1,4.2,102,-10.6,126.5,2,176.1,132.9,3,24.25,49.7394,126.3606
WinterH,2,239.5,1151,-159.8,1.1,120,-8.9,283.9,3,178.7,87.7,3,24.25,52.657,126.043
WinterH,2,239.5,1161,-149.2,6.3,98,-5.5,296.3,15,173.6,159.3,3,24.25,52.2075,121.3925
WinterH,2,239.5,1171,-157.7,5.6,111,-3.8,125.1,-2,171.5,62.9,3,24.25,53.5083,117.9917
WinterH,3,410.4,1368,-127.0,0.7,95,-0.5,282.4,-5,157.0,1.5,3,24.25,36.0479,120.9521
WinterH,3,410.4,1372,-146.8,2.7,99,-4.7,294.4,-1,171.0,60.2,3,24.25,35.0889,135.9111
WinterH,3,410.4,1379,-147.7,5.3,84,-15.0,293.0,-11,173.7,57.4,3,24.25,31.9013,141.7987
WinterH,3,410.4,1388,-134.6,4.0,84,-9.3,184.0,5,164.6,14.6,3,24.25,6.3513,158.2487
WinterH,3,410.4,1398,-153.5,5.2,107,-6.8,179.4,3,182.6,91.4,3,24.25,11.0934,171.5066
WinterH,3,410.4,1410,-158.5,0.5,122,-13.2,38.7,-5,188.3,20.5,3,24.25,4.2962,184.0038
WinterH,3,410.4,1423,-146.9,6.2,99,-6.4,188.5,-6,176.7,26.5,3,24.25,0.3226,176.3774
WinterH,3,410.4,1437,-152.1,4.5,87,-10.4,176.9,3,171.9,27.1,3,24.25,0.0648,171.8352
WinterH,3,410.4,1479,-134.5,2.2,101,-8.4,301.4,6,164.4,5.6,3,24.25,35.242,129.158
WinterH,3,410.4,1483,-136.9,3.8,83,-13.3,295.9,-3,166.8,11.4,3,24.25,31.6077,135.1923
WinterH,3,410.4,1490,-137.6,3.0,81,-13.4,27.0,-3,167.6,3.7,3,24.25,22.1736,145.4264
WinterH,3,410.4,1499,-136.0,5.2,95,-3.6,298.2,-8,165.9,16.8,3,24.25,34.7666,131.1334
WinterH,3,410.4,1509,-135.4,0.4,83,-13.1,41.0,3,165.2,4.5,3,24.25,28.1934,137.0066
WinterH,3,410.4,1521,-145.2,2.9,83,-13.8,43.9,-2,168.0,7.5,3,24.25,29.5464,138.4536
WinterH,3,410.4,1534,-155.1,1.3,79,-13.2,293.5,-8,172.5,33.6,3,24.25,31.4976,141.0024
WinterH,3,410.4,1548,-149.2,4.4,96,-8.7,32.3,3,178.9,31.5,3,24.25,17.0037,161.8963
WinterH,3,410.4,1562,-157.9,4.6,95,-8.5,41.6,-4,184.5,58.7,3,24.25,22.9753,161.5247
WinterH,3,410.4,1654,-151.3,0.5,77,-10.4,178.8,4,173.7,100.6,3,24.25,8.092,165.608
WinterH,3,410.4,1668,-154.1,2.7,92,-11.8,291.5,-14,179.8,116.6,3,24.25,37.4491,142.3509
WinterH,3,410.4,1680,-152.1,1.4,95,-3.5,186.0,4,178.3,144.1,3,24.25,0.6957,177.6043
WinterH,3,410.4,1688,-158.2,1.7,112,-7.5,177.8,1,184.9,144.3,3,24.25,16.3777,168.5223
WinterM,1,481.6,1605,-133.5,2.8,338,1.2,154.9,10,163.4,14.6,3,24.25,33.6204,129.7796
WinterM,1,481.6,1608,-132.1,5.0,96,-8.1,150.5,5,162.0,7.1,3,24.25,19.569,142.431
WinterM,1,481.6,1612,-127.6,3.8,19,-10.9,146.0,19,157.5,4.3,3,24.25,20.3039,137.1961
WinterM,1,481.6,1617,-132.3,2.7,27,-8.4,152.8,15,162.1,2.2,3,24.25,19.7636,142.3364
WinterM,1,481.6,1622,-140.8,2.9,325,-8.9,157.4,11,170.2,19.5,3,24.25,33.0456,137.1544
WinterM,1,481.6,1628,-136.0,5.9,37,-11.3,140.7,3,166.0,4.6,3,24.25,8.0272,157.9728
WinterM,1,481.6,1633,-137.2,5.7,105,-12.4,140.7,11,166.4,5.5,3,24.25,27.5635,138.8365
WinterM,1,481.6,1639,-137.7,3.8,331,-6.7,148.1,6,167.4,15.1,3,24.25,33.9565,133.4435
WinterM,1,481.6,1646,-132.7,5.5,107,-10.7,149.2,7,162.4,6.5,3,24.25,25.2377,137.1623
WinterM,1,481.6,1652,-127.4,2.0,10,-5.2,147.0,11,157.4,4.2,3,24.25,24.9584,132.4416
WinterM,1,481.6,1658,-138.1,4.9,217,-5.4,158.9,11,168.1,5.2,3,24.25,18.0644,150.0356
WinterM,1,481.6,1665,-140.4,2.2,43,-3.5,151.5,0,170.3,5.7,3,24.25,10.8685,159.4315
WinterM,1,481.6,1672,-140.3,2.0,84,-9.2,143.2,7,170.2,9.7,3,24.25,17.5736,152.6264
WinterM,1,481.6,1679,-157.1,5.1,326,-5.6,151.7,6,171.1,21.1,3,24.25,34.2185,136.8815
WinterM,1,481.6,1686,-145.3,3.3,329,-5.6,154.5,10,169.9,30.3,3,24.25,34.2979,135.6021
WinterM,1,481.6,1693,-154.1,2.3,33,-5.7,127.1,5,183.5,23.4,3,24.25,2.4684,181.0316
WinterM,1,481.6,1700,-153.7,4.0,15,-5.8,153.9,31,181.6,37.6,3,24.25,26.0677,155.5323
WinterM,1,481.6,1715,-149.0,4.6,34,-4.5,147.7,5,174.5,42.2,3,24.25,13.963,160.537
WinterM,1,481.6,1872,-152.5,2.2,244,-5.2,151.9,-4,182.4,34.0,3,24.25,1.3288,181.0712
WinterM,1,481.6,1876,-147.2,3.7,49,-12.8,160.0,10,177.1,43.1,3,24.25,13.0096,164.0904
WinterM,1,481.6,1882,-149.6,5.6,342,-5.5,151.2,7,171.9,102.8,3,24.25,35.7165,136.1835
WinterM,1,481.6,1891,-153.5,5.1,346,-6.1,137.2,23,183.3,49.9,3,24.25,31.9396,151.3604
WinterM,2,303.9,1013,-139.3,3.9,208,-16.7,175.9,3,169.1,6.9,3,24.25,35.9509,133.1491
WinterM,2,303.9,1016,-123.8,4.5,211,-18.5,159.3,5,153.7,5.9,3,24.25,26.3302,127.3698
WinterM,2,303.9,1021,-130.6,3.9,204,-14.0,162.1,10,159.5,7.3,3,24.25,31.6756,127.8244
WinterM,2,303.9,1026,-136.2,2.8,214,-17.7,51.0,10,166.1,20.3,3,24.25,40.768,125.332
WinterM,2,303.9,1031,-134.7,4.6,195,-20.7,313.8,5,164.7,2.1,3,24.25,20.5731,144.1269
WinterM,2,303.9,1037,-131.0,6.2,199,-15.1,241.5,-4,161.0,3.1,3,24.25,31.5505,129.4495
WinterM,2,303.9,1043,-145.2,3.4,215,-19.2,309.0,-3,174.6,10.9,3,24.25,2.9913,171.6087
WinterM,2,303.9,1049,-138.0,4.9,212,-14.9,140.1,11,167.5,16.8,3,24.25,13.3499,154.1501
WinterM,2,303.9,1056,-149.5,6.2,218,-19.9,317.7,0,178.1,12.5,3,24.25,7.2575,170.8425
WinterM,2,303.9,1063,-131.6,4.0,218,-20.6,164.3,11,160.5,32.4,3,24.25,25.5614,134.9386
WinterM,2,303.9,1070,-143.1,1.7,213,-15.2,140.6,5,170.2,20.6,3,24.25,13.0867,157.1133
WinterM,2,303.9,1077,-148.8,3.8,223,-17.6,135.2,22,178.7,6.7,3,24.25,1.6654,177.0346
WinterM,2,303.9,1118,-141.3,4.0,246,-19.8,241.4,7,171.3,1.8,3,24.25,43.8476,127.4524
WinterM,2,303.9,1181,-140.9,5.7,214,-18.8,165.9,13,162.0,49.6,3,24.25,29.9988,132.0012
WinterM,2,303.9,1184,-136.0,3.9,198,-14.6,134.8,9,166.0,13.3,3,24.25,20.2732,145.7268
WinterM,2,303.9,1306,-155.2,5.9,195,-10.9,166.9,17,177.1,103.5,3,24.25,41.253,135.847
WinterM,2,303.9,1310,-156.1,1.6,207,-18.3,135.1,7,172.8,77.9,3,24.25,14.5473,158.2527
WinterM,2,303.9,1315,-152.7,1.2,211,-16.4,45.4,13,172.0,80.7,3,24.25,45.4249,126.5751
WinterM,3,283.7,946,-122.5,1.3,295,0.0,137.1,15,152.5,2.1,3,24.25,40.8172,111.6828
WinterM,3,283.7,949,-127.5,4.2,284,-3.9,264.2,4,157.4,12.3,3,24.25,41.4938,115.9062
WinterM,3,283.7,955,-132.5,2.8,296,-1.4,272.0,19,162.4,9.6,3,24.25,40.3743,122.0257
WinterM,3,283.7,963,-122.2,2.6,313,1.8,131.5,5,152.2,0.4,3,24.25,44.3055,107.8945
WinterM,3,283.7,972,-128.0,5.3,298,3.5,137.5,-2,158.0,4.9,3,24.25,41.9117,116.0883
WinterM,3,283.7,981,-126.9,3.2,304,1.8,271.3,5,156.8,6.4,3,24.25,37.5341,119.2659
WinterM,3,283.7,992,-135.1,1.4,270,1.6,128.2,8,165.0,3.3,3,24.25,35.1874,129.8126
WinterM,3,283.7,1003,-133.4,4.5,290,0.0,273.5,10,163.0,17.2,3,24.25,43.0975,119.9025
WinterM,3,283.7,1015,-141.2,2.7,300,0.7,272.1,7,158.6,11.2,3,24.25,39.8904,118.7096
WinterM,3,283.7,1028,-149.7,2.6,294,0.9,97.6,5,177.5,39.0,3,24.25,43.4961,134.0039
WinterM,3,283.7,1041,-155.0,5.9,285,2.3,94.5,18,183.5,40.3,3,24.25,44.7822,138.7178
WinterM,3,283.7,1145,-144.8,0.9,297,3.3,286.2,18,174.0,71.5,3,24.25,46.3415,127.6585
WinterM,3,283.7,1149,-145.1,0.1,300,6.1,141.2,7,167.4,73.7,3,24.25,44.0429,123.3571
WinterM,3,283.7,1156,-146.3,2.7,290,-1.3,265.7,6,162.5,43.4,3,24.25,43.1547,119.3453
WinterM,3,283.7,1188,-150.9,2.0,301,-0.4,277.9,12,166.9,43.9,3,24.25,44.0153,122.8847
SpringL,1,136.3,454,-116.1,4.7,329,-4.0,355.9,-10,146.1,0.0,1,52.6,59.8363,86.2637
SpringL,2,358.8,1196,-149.7,1.3,105,-4.4,313.8,-2,179.2,10.1,1,52.6,34.0814,145.1186
SpringL,2,358.8,1199,-144.3,1.2,117,-10.7,290.2,-5,174.3,1.0,1,52.6,38.6564,135.6436
SpringL,2,358.8,1202,-148.3,5.6,110,-7.8,144.6,3,178.3,5.8,1,52.6,32.0763,146.2237
SpringL,2,358.8,1205,-152.8,4.0,102,-9.1,309.9,-4,181.1,13.5,1,52.6,34.4726,146.6274
SpringL,2,358.8,1258,-151.3,3.9,123,-6.1,309.8,1,181.3,10.7,1,52.6,39.4017,141.8983
SpringL,2,358.8,1261,-159.1,4.1,97,-12.8,153.2,0,189.0,12.2,1,52.6,22.0955,166.9045
SpringL,2,358.8,1267,-155.0,3.9,115,-10.4,312.7,-8,184.6,16.9,1,52.6,37.9115,146.6885
SpringL,2,358.8,1270,-159.3,5.5,82,-6.4,303.8,-10,189.3,2.4,1,52.6,29.6949,159.6051
SpringL,2,358.8,1282,-159.2,1.6,81,-8.6,143.6,18,189.2,0.9,1,52.6,18.4016,170.7984
SpringL,3,393.5,1312,-150.5,5.4,234,-4.5,208.5,13,180.5,1.8,1,52.6,33.5039,146.9961
SpringL,3,393.5,1314,-158.9,3.0,236,-4.9,267.0,6,188.2,32.5,1,52.6,31.838,156.362
SpringL,3,393.5,1320,-156.3,1.5,232,-4.0,131.2,-3,185.7,3.2,1,52.6,6.9731,178.7269
SpringL,3,393.5,1322,-151.9,0.4,209,-0.8,260.7,8,181.8,27.0,1,52.6,23.0786,158.7214
SpringL,3,393.5,1325,-150.1,1.3,226,-4.3,131.0,7,180.1,2.6,1,52.6,3.2485,176.8515
SpringL,3,393.5,1328,-149.7,2.9,205,-4.9,118.6,-1,179.7,1.0,1,52.6,2.3425,177.3575
SpringL,3,393.5,1336,-141.1,2.8,216,-3.6,328.0,-9,171.1,5.1,1,52.6,14.0105,157.0895
SpringL,3,393.5,1344,-158.9,6.2,205,-0.2,5.3,13,188.8,3.4,1,52.6,35.2997,153.5003
SpringL,3,393.5,1454,-154.3,6.0,242,-4.8,259.8,-4,184.3,8.2,1,52.6,36.9246,147.3754
SpringH,1,267.5,892,-128.8,0.6,258,-3.9,295.8,-1,158.8,2.8,1,52.6,35.9514,122.8486
SpringH,1,267.5,895,-127.9,0.7,247,-12.8,71.1,2,157.6,23.0,1,52.6,45.4322,112.1678
SpringH,1,267.5,900,-129.5,3.9,237,-9.5,77.1,1,159.3,19.2,1,52.6,42.8522,116.4478
SpringH,1,267.5,906,-122.9,1.3,256,-9.3,283.8,5,152.9,2.6,1,52.6,40.4524,112.4476
SpringH,1,267.5,913,-131.1,2.7,257,-13.5,282.8,15,159.8,5.3,1,52.6,41.2763,118.5237
SpringH,1,267.5,949,-119.5,5.1,265,-9.2,87.3,5,149.5,0.4,1,52.6,46.4039,103.0961
SpringH,1,267.5,1008,-144.7,2.1,243,-4.3,283.8,10,172.9,49.5,1,52.6,35.894,137.006
SpringH,1,267.5,1011,-137.0,1.7,242,-9.5,71.3,2,160.1,46.6,1,52.6,46.8421,113.2579
SpringH,1,267.5,1017,-140.6,5.1,257,-5.1,274.0,11,167.2,55.3,1,52.6,45.4868,121.7132
SpringH,1,267.5,1025,-155.9,1.3,230,-7.5,64.3,3,182.0,60.5,1,52.6,46.2195,135.7805
SpringH,1,267.5,1034,-148.7,4.1,259,-9.3,82.6,-13,176.6,55.6,1,52.6,47.7517,128.8483
SpringH,1,267.5,1043,-149.8,3.6,265,-10.0,297.3,8,174.2,61.5,1,52.6,40.5682,133.6318
SpringH,2,364.0,1216,-156.9,0.5,295,-5.3,339.3,5,186.8,4.0,1,52.6,27.6543,159.1457
SpringH,2,364.0,1221,-157.9,2.4,87,-1.4,343.7,0,187.7,6.7,1,52.6,8.9035,178.7965
SpringH,2,364.0,1224,-157.3,1.8,87,-9.6,351.7,-4,187.0,2.1,1,52.6,3.5785,183.4215
SpringH,2,364.0,1316,-156.3,3.5,156,-4.0,334.7,-1,185.8,22.7,1,52.6,39.8853,145.9147
SpringH,3,199.5,665,-137.9,1.0,221,1.5,189.9,7,167.9,1.1,1,52.6,45.9915,121.9085
SpringH,3,199.5,669,-141.0,3.3,255,-0.7,104.0,-4,171.0,0.7,1,52.6,47.0516,123.9484
SpringH,3,199.5,676,-141.2,2.0,252,0.0,267.8,4,171.2,2.0,1,52.6,51.9074,119.2926
SpringH,3,199.5,685,-136.4,4.9,239,0.7,187.1,-2,166.4,2.0,1,52.6,33.4044,132.9956
SpringH,3,199.5,695,-143.6,0.4,239,2.7,270.7,-5,173.6,1.6,1,52.6,46.2412,127.3588
SpringH,3,199.5,707,-155.9,3.9,241,0.3,181.1,-1,171.4,4.5,1,52.6,27.3848,144.0152
SpringH,3,199.5,720,-141.4,4.0,235,-0.3,197.3,-11,171.4,3.7,1,52.6,43.4232,127.9768
SpringH,3,199.5,734,-152.8,0.5,246,3.4,103.5,21,182.7,6.4,1,52.6,43.7763,138.9237
SpringH,3,199.5,749,-153.7,5.3,249,2.6,185.7,-13,183.3,18.8,1,52.6,24.9362,158.3638
SpringM,1,198.9,663,-139.3,0.6,257,-10.1,115.0,15,169.3,3.5,1,52.6,42.399,126.901
SpringM,1,198.9,666,-132.8,4.3,265,-4.9,29.9,4,162.8,1.8,1,52.6,30.821,131.979
SpringM,1,198.9,671,-135.1,0.9,149,0.5,329.2,6,165.1,2.3,1,52.6,53.9754,111.1246
SpringM,1,198.9,677,-141.7,3.3,164,-1.7,109.2,6,171.7,0.9,1,52.6,31.1871,140.5129
SpringM,1,198.9,684,-131.9,0.0,256,-6.9,262.5,15,161.9,3.0,1,52.6,53.9041,107.9959
SpringM,1,198.9,691,-139.7,2.7,160,-7.6,39.1,15,169.7,0.5,1,52.6,27.9377,141.7623
SpringM,1,198.9,699,-153.0,1.4,269,-7.4,335.3,7,179.1,29.3,1,52.6,21.9353,157.1647
SpringM,1,198.9,707,-146.6,4.1,274,-8.8,332.1,3,175.3,30.0,1,52.6,28.9284,146.3716
SpringM,1,198.9,716,-146.7,3.2,16,-12.4,328.0,2,176.7,5.2,1,52.6,36.7587,139.9413
SpringM,1,198.9,725,-154.0,3.8,262,-2.8,338.7,1,183.1,23.4,1,52.6,12.6819,170.4181
SpringM,1,198.9,734,-151.6,1.3,31,-8.4,333.7,16,181.6,3.9,1,52.6,29.8854,151.7146
SpringM,1,198.9,744,-148.7,0.9,14,-5.9,252.3,16,178.7,4.5,1,52.6,29.1804,149.5196
SpringM,1,198.9,780,-146.5,0.1,271,-5.2,327.7,2,175.3,32.3,1,52.6,30.9096,144.3904
SpringM,1,198.9,783,-143.4,5.9,34,-4.5,256.2,8,173.4,3.7,1,52.6,41.7542,131.6458
SpringM,1,198.9,788,-139.9,4.4,263,-8.1,90.2,3,169.9,8.8,1,52.6,56.0246,113.8754
SpringM,1,198.9,794,-143.0,3.5,250,-11.4,98.0,-4,173.0,6.3,1,52.6,49.9728,123.0272
SpringM,1,198.9,800,-152.7,1.9,24,-11.5,93.5,1,182.6,3.5,1,52.6,19.8657,162.7343
SpringM,1,198.9,807,-146.9,0.3,259,-4.7,250.8,15,175.1,58.6,1,52.6,56.2934,118.8066
SpringM,1,198.9,830,-159.3,0.1,277,-8.4,30.8,4,180.5,55.4,1,52.6,23.1494,157.3506
SpringM,1,198.9,993,-154.4,5.2,257,-5.8,96.9,14,183.3,119.9,1,52.6,57.207,126.093
SpringM,2,10.0,33,-100.8,2.7,324,-7.7,109.0,11,130.6,1.4,1,52.6,163.8304,-33.2304
SpringM,2,10.0,36,-97.6,2.2,338,-4.8,140.6,10,127.5,2.0,1,52.6,191.1504,-63.6504
SpringM,2,10.0,39,-106.8,4.4,326,-3.6,115.2,11,134.2,3.3,1,52.6,172.3362,-38.1362
SpringM,2,10.0,41,-110.1,2.3,327,-6.3,129.8,12,136.6,8.1,1,52.6,191.8627,-55.2627
SpringM,2,10.0,44,-107.3,2.0,329,-7.1,124.6,13,135.6,6.1,1,52.6,183.1945,-47.5945
SpringM,2,10.0,47,-116.9,4.3,348,-8.7,119.9,16,146.8,1.1,1,52.6,134.5538,12.2462
SpringM,2,10.0,49,-107.7,3.7,335,-5.2,136.1,-1,136.9,5.2,1,52.6,190.8155,-53.9155
SpringM,2,10.0,52,-119.5,1.5,338,-10.5,126.1,9,142.8,6.7,1,52.6,171.4977,-28.6977
SpringM,2,10.0,55,-113.5,2.4,315,-8.3,135.7,15,143.4,3.3,1,52.6,202.308,-58.908
SpringM,2,10.0,58,-108.7,1.3,333,-10.6,128.9,13,136.4,8.4,1,52.6,184.9766,-48.5766
SpringM,2,10.0,60,-111.1,1.6,332,-5.3,134.9,8,134.6,10.9,1,52.6,193.8837,-59.2837
SpringM,2,10.0,63,-128.7,5.3,320,-4.7,122.6,8,144.5,8.5,1,52.6,193.871,-49.371
SpringM,2,10.0,66,-116.3,2.7,327,-10.4,128.7,-8,146.0,6.0,1,52.6,193.1935,-47.1935
SpringM,2,10.0,69,-119.9,4.1,341,-6.7,134.4,18,141.4,12.0,1,52.6,182.23,-40.83
SpringM,2,10.0,71,-119.6,3.3,318,-4.6,128.7,1,149.2,7.6,1,52.6,201.3311,-52.1311
SpringM,2,10.0,74,-119.0,5.9,333,-8.8,131.9,13,136.4,11.0,1,52.6,190.6299,-54.2299
SpringM,2,10.0,77,-122.8,2.1,324,-11.4,127.7,12,139.9,9.4,1,52.6,196.4206,-56.5206
SpringM,2,10.0,80,-121.4,2.3,319,0.9,112.7,14,142.6,15.2,1,52.6,183.7466,-41.1466
SpringM,2,10.0,83,-123.6,4.7,322,-2.2,131.6,10,143.8,13.5,1,52.6,201.9074,-58.1074
SpringM,3,404.1,1347,-142.5,4.0,107,-5.7,247.7,-2,171.1,12.3,1,52.6,28.3451,142.7549
SpringM,3,404.1,1350,-145.6,5.3,360,-10.8,255.0,-4,175.5,6.5,1,52.6,9.4892,166.0108
SpringM,3,404.1,1353,-140.7,1.3,114,-6.3,248.8,0,170.0,13.8,1,52.6,25.8584,144.1416
SpringM,3,404.1,1356,-139.7,2.8,351,-6.6,259.5,9,169.6,1.3,1,52.6,0.9615,168.6385
SpringM,3,404.1,1360,-153.0,4.6,117,-10.9,256.1,-7,181.3,7.6,1,52.6,27.7984,153.5016
SpringM,3,404.1,1392,-151.3,0.7,351,-8.4,256.9,-3,179.3,20.6,1,52.6,2.6556,176.6444
SpringM,3,404.1,1396,-149.2,2.8,130,-7.7,249.6,-11,179.2,1.8,1,52.6,18.369,160.831
SpringM,3,404.1,1401,-150.5,3.1,93,-5.9,243.3,-2,180.4,7.1,1,52.6,32.3528,148.0472
SpringM,3,404.1,1408,-153.8,4.4,3,-10.8,240.5,7,183.7,7.2,1,52.6,20.055,163.645
SpringM,3,404.1,1434,-156.9,0.3,120,-4.8,241.6,5,182.3,40.6,1,52.6,19.7136,162.5864
SpringM,3,404.1,1444,-152.5,3.8,112,-8.7,244.1,2,173.3,30.9,1,52.6,25.2997,148.0003
FallL,1,199.4,665,-147.2,0.5,81,-5.2,21.1,14,176.5,9.1,0,52.6,26.9483,149.5517
FallL,1,199.4,668,-141.3,5.0,69,-3.9,242.3,3,170.5,30.9,0,52.6,53.4307,117.0693
FallL,1,199.4,673,-141.7,2.5,89,-7.5,20.5,7,171.7,3.9,0,52.6,19.7561,151.9439
FallL,1,199.4,680,-148.7,0.3,82,-9.0,255.4,2,178.5,17.9,0,52.6,53.6951,124.8049
FallL,1,199.4,687,-142.7,2.0,72,-4.6,249.2,3,171.6,13.3,0,52.6,54.1376,117.4624
FallL,1,199.4,695,-150.0,5.5,85,-7.5,359.7,9,180.0,3.3,0,52.6,4.4552,175.5448
FallL,1,199.4,703,-146.2,5.9,71,-4.5,352.5,7,176.2,3.4,0,52.6,10.8741,165.3259
FallL,1,199.4,711,-148.6,2.7,73,0.9,8.7,4,178.3,29.9,0,52.6,23.7267,154.5733
FallL,1,199.4,721,-157.0,5.4,60,-10.3,358.1,17,186.9,5.2,0,52.6,25.8706,161.0294
FallL,1,199.4,730,-150.1,3.0,69,-9.2,12.9,8,179.4,36.0,0,52.6,30.7412,148.6588
FallL,1,199.4,794,-144.3,3.3,62,-1.6,239.7,-1,173.4,49.6,0,52.6,56.4329,116.9671
FallL,1,199.4,797,-150.6,1.5,77,-8.0,11.4,4,179.5,38.3,0,52.6,23.3579,156.1421
FallL,1,199.4,913,-156.1,1.6,75,-8.1,261.0,-7,185.7,64.0,0,52.6,58.6866,127.0134
FallL,1,199.4,918,-157.2,1.1,66,-6.8,20.6,10,185.0,95.0,0,52.6,41.5086,143.4914
FallL,3,121.5,405,-130.4,3.0,15,-10.3,237.2,0,160.3,8.4,0,52.6,53.1739,107.1261
